YTS,WIP,APPROVED
1.0,0.0,0.0
0.8648648648648649,0.21008403361344538,0.0
0.6972972972972973,0.47058823529411764,0.0
0.6594594594594594,0.5294117647058824,0.0
0.5837837837837838,0.6470588235294117,0.0
0.5405405405405406,0.7142857142857143,0.0
0.5297297297297296,0.7310924369747899,0.0
0.4810810810810811,0.6050420168067226,0.15286624203821658
0.4216216216216216,0.6974789915966386,0.15286624203821658
0.4108108108108109,0.7142857142857143,0.15286624203821658
0.40540540540540543,0.7226890756302521,0.15286624203821658
0.2702702702702703,0.9327731092436974,0.15286624203821658
0.2,0.8151260504201681,0.32484076433121023
0.0972972972972973,0.9747899159663865,0.32484076433121023
0.08108108108108109,1.0,0.32484076433121023
0.06486486486486487,0.7647058823529411,0.5222929936305732
0.05945945945945946,0.7731092436974789,0.5222929936305732
0.12432432432432433,0.6722689075630252,0.5222929936305732
0.14054054054054055,0.6470588235294117,0.5222929936305732
0.14594594594594595,0.42016806722689076,0.6878980891719746
0.10810810810810811,0.4789915966386554,0.6878980891719746
0.0918918918918919,0.5042016806722689,0.6878980891719746
0.08108108108108109,0.5210084033613445,0.6878980891719746
0.05945945945945946,0.2773109243697479,0.8980891719745223
0.02702702702702703,0.3277310924369748,0.8980891719745223
0.010810810810810811,0.3529411764705882,0.8980891719745223
0.0,0.23529411764705882,1.0
